time,open,high,low,close,Volume,Volume MA
2021-05-12T00:00:00Z,56670.02,57200,56555.12,56999.97,1148.996288,429.59515590000376
2021-05-12T00:15:00Z,56999.98,57029.31,56736.38,56972.64,621.446191,432.41025170000376
2021-05-12T00:30:00Z,56969.99,57360,56927.2,57081.75,768.171824,446.4951349500037
2021-05-12T00:45:00Z,57081.75,57360.07,57037.07,57348.95,628.29275,459.49644355000373
2021-05-12T01:00:00Z,57344.48,57360,57111,57236.6,505.83252,465.2457907500037
2021-05-12T01:15:00Z,57233.74,57233.75,57060.82,57072.72,470.887713,463.20870985000374
2021-05-12T01:30:00Z,57072.73,57145,56980.81,57120.01,573.625579,471.8203328500037
2021-05-12T01:45:00Z,57120,57120.01,56924.37,57033.35,468.444253,478.9842124000037
2021-05-12T02:00:00Z,57033.35,57078.03,56932.83,56993.17,390.412209,481.35088665000364
2021-05-12T02:15:00Z,56993.17,57337.81,56982.77,57225.79,626.046955,496.41062735000367
2021-05-12T02:30:00Z,57225.79,57287.46,56972.95,57067.72,638.874693,508.93724270000365
2021-05-12T02:45:00Z,57069.99,57174.58,56938.78,57172.94,580.394139,515.5694400500037
2021-05-12T03:00:00Z,57170.2,57256.77,56937.78,57240.98,569.271187,523.2030017000037
2021-05-12T03:15:00Z,57240.98,57250.01,57011.19,57250,435.089636,526.9258268000037
2021-05-12T03:30:00Z,57250,57698.91,57142.22,57610.11,1171.577476,567.9771677000037
2021-05-12T03:45:00Z,57610.28,57872.18,57610.28,57756.94,1134.866149,608.4720129500038
2021-05-12T04:00:00Z,57756.95,58000.01,57680.03,57914.06,1184.617599,650.7113556500037
2021-05-12T04:15:00Z,57923.96,57980,57627.32,57678.84,452.44237,657.4248067000037
2021-05-12T04:30:00Z,57680.79,57699.17,57346.88,57410.98,564.709016,666.8021182000037
2021-05-12T04:45:00Z,57410.98,57473.84,57284.82,57355.3,500.504629,671.7251588000038
2021-05-12T05:00:00Z,57355.29,57500,57233,57412.96,633.882513,645.9694700500038
2021-05-12T05:15:00Z,57412.97,57504.65,57316,57410.48,389.529754,634.3736482000037
2021-05-12T05:30:00Z,57410.48,57476.22,57282.82,57328.74,373.082127,614.6191633500036
2021-05-12T05:45:00Z,57328.75,57378.55,57160.01,57227.98,552.243637,610.8167077000036
2021-05-12T06:00:00Z,57227.98,57366.92,57066.72,57191.55,519.666509,611.5084071500036
2021-05-12T06:15:00Z,57195.71,57247.67,56925.42,57103.18,975.879302,636.7579866000035
2021-05-12T06:30:00Z,57103.18,57231.87,57094.27,57129.54,382.966263,627.2250208000036
2021-05-12T06:45:00Z,57129.54,57220.26,56900,57009.55,638.59234,635.7324251500036
2021-05-12T07:00:00Z,57011.67,57190.88,56990.28,57074.68,492.427887,640.8332090500036
2021-05-12T07:15:00Z,57074.69,57250,57074.68,57205.2,497.711198,634.4164212000036
2021-05-12T07:30:00Z,57205.2,57205.6,57024.72,57049.04,385.344337,621.7399034000036
2021-05-12T07:45:00Z,57049.03,57183.63,56882,57101.07,539.860303,619.7132116000037
2021-05-12T08:00:00Z,57101.08,57180,56735,56828.58,691.293329,625.8143187000036
2021-05-12T08:15:00Z,56828.58,56973.68,56611.12,56620.58,781.162262,643.1179500000036
2021-05-12T08:30:00Z,56620.58,56883.09,56611,56737.41,651.390572,617.1086048000036
2021-05-12T08:45:00Z,56736.41,56916.16,56580,56912.77,1208.965831,620.8135889000035
2021-05-12T09:00:00Z,56912.77,56923.92,56749.73,56867,560.231498,589.5942838500035
2021-05-12T09:15:00Z,56866.99,56893.75,56730,56865.3,400.708521,587.0075914000035
2021-05-12T09:30:00Z,56865.29,57100,56831.22,57063.21,595.794234,588.5618523000036
2021-05-12T09:45:00Z,57062.7,57195.5,56824.62,56855.43,606.362414,593.8547415500036
