time,open,high,low,close,Volume,Volume MA
2021-05-08T00:00:00Z,57315.49,57761.78,56900,57700.78,2546.939726,3050.5260659500045
2021-05-08T01:00:00Z,57700.53,57788.79,57424.01,57558.89,1754.888263,3033.7659361000046
2021-05-08T02:00:00Z,57558.9,58310.29,57500.34,58253.2,2594.866959,3061.2000440000043
2021-05-08T03:00:00Z,58253.2,58400,57980.94,58099.98,2309.156961,3041.882620800004
2021-05-08T04:00:00Z,58099.86,58599.99,57950.35,58057.02,2397.861499,3032.959690100004
2021-05-08T05:00:00Z,58057.01,58067.32,57791,57877.97,1935.918292,2998.745977800004
2021-05-08T06:00:00Z,57877.97,57975.31,57500,57804.1,1863.151032,2945.934199200004
2021-05-08T07:00:00Z,57804.09,58540.01,57604.06,58463.06,2932.637417,2976.846348700004
2021-05-08T08:00:00Z,58463.06,59379.26,58458.29,58856.56,6420.291719,3068.184015050004
2021-05-08T09:00:00Z,58856.57,59173.3,58632.8,58799.99,2999.236813,3053.335774400004
2021-05-08T10:00:00Z,58800,58888,58305,58539.56,2303.583961,2993.911049550004
2021-05-08T11:00:00Z,58539.56,58802.09,58350,58556.09,1682.312854,2907.621629450004
2021-05-08T12:00:00Z,58556.09,59118.3,58213.76,58862.79,2917.225497,2756.4969998000042
2021-05-08T13:00:00Z,58862.8,59438.64,58700,58828.25,4759.958115,2773.848320900004
2021-05-08T14:00:00Z,58828.26,59060,58601,58946.32,2809.751111,2765.916705700004
2021-05-08T15:00:00Z,58947.47,58947.48,57472.95,57599.87,5851.539191,2926.1139235000046
2021-05-08T16:00:00Z,57599.86,58500,57560.63,58381.14,4739.339671,3044.0984416500046
2021-05-08T17:00:00Z,58381.14,59050.45,58139.91,58898.98,3815.391269,3113.0274325500045
2021-05-08T18:00:00Z,58901.45,59251.04,58901.45,59060.57,2937.039406,3082.2875554500047
2021-05-08T19:00:00Z,59060.57,59300,58863.18,59030.56,2046.45176,3080.877075800004
2021-05-08T20:00:00Z,59030.56,59500,58755,58935.31,2346.625858,3070.8613824000045
2021-05-08T21:00:00Z,58935.31,59098.99,58623.21,58782.49,1893.883515,3077.811145000004
2021-05-08T22:00:00Z,58782.48,59119.95,58477.94,58567.12,2395.945965,3067.865095300004
2021-05-08T23:00:00Z,58567.12,58886.8,58466,58862.05,1455.909174,3025.202705950004
