Date,Open,High,Low,Close,Volume
2017-08-17 00:00,4469.93,4485.39,4200.74,4285.08,2812379.11
2017-08-18 00:00,4285.08,4371.52,3938.77,4108.37,4994493.56
2017-08-19 00:00,4108.37,4184.69,3850.0,4139.98,1508239.39
2017-08-20 00:00,4139.98,4211.08,4032.62,4086.29,1915636.35
2017-08-21 00:00,4086.29,4119.62,3911.79,4016.0,2770592.06
2017-08-22 00:00,4016.0,4104.82,3400.0,4040.0,3648726.5
2017-08-23 00:00,4040.0,4265.8,4013.89,4114.01,4062506.52
2017-08-24 00:00,4114.01,4371.68,4085.01,4316.01,3225405.8
2017-08-25 00:00,4316.01,4453.91,4247.48,4280.68,2440323.79
2017-08-26 00:00,4280.68,4367.0,4212.41,4337.44,967753.32
2017-08-27 00:00,4337.44,4400.0,4285.54,4310.01,1507589.96
2017-08-28 00:00,4310.01,4399.82,4124.54,4386.69,2546618.75
2017-08-29 00:00,4386.69,4625.85,4313.55,4587.48,2640584.83
2017-08-30 00:00,4587.48,4647.51,4416.01,4555.14,3600737.68
2017-08-31 00:00,4555.14,4745.42,4555.14,4724.89,2548384.43
2017-09-01 00:00,4724.89,4885.55,4654.88,4834.91,2634056.29
2017-09-02 00:00,4834.91,4939.19,4286.87,4472.14,4072965.36
2017-09-03 00:00,4472.14,4714.76,4298.33,4509.08,3011023.5
2017-09-04 00:00,4509.08,4527.49,3972.51,4100.11,5550545.61
2017-09-05 00:00,4100.11,4484.99,3603.0,4366.47,4863148.22
2017-09-06 00:00,4366.47,4662.87,4335.26,4619.77,3500735.96
2017-09-07 00:00,4619.77,4788.59,4438.19,4691.61,2219664.92
2017-09-08 00:00,4691.61,4735.39,4028.93,4282.8,4764005.93
2017-09-09 00:00,4282.8,4426.62,4150.06,4258.81,2814560.35
2017-09-10 00:00,4258.81,4283.0,3801.0,4130.37,2653218.2
2017-09-11 00:00,4130.37,4334.43,4098.91,4208.47,2895733.88
2017-09-12 00:00,4208.47,4394.59,4040.8,4163.72,3700789.23
2017-09-13 00:00,4163.72,4165.38,3760.0,3944.69,3522155.98
2017-09-14 00:00,3944.69,3993.0,3165.13,3189.02,5831847.65
2017-09-15 00:00,3189.02,3856.0,2817.0,3700.0,6525220.95
2017-09-16 00:00,3700.0,3950.0,3470.66,3714.95,4739326.89
2017-09-17 00:00,3714.95,3748.21,3499.02,3699.99,2445321.19
2017-09-18 00:00,3699.99,4123.2,3690.0,4035.01,4059703.98
2017-09-19 00:00,4035.01,4089.97,3830.91,3910.04,3544361.84
2017-09-20 00:00,3910.04,4046.08,3820.0,3900.0,2834260.05
2017-09-21 00:00,3900.0,3910.0,3567.0,3609.99,3642671.89
2017-09-22 00:00,3609.99,3750.0,3505.55,3595.87,3011224.81
2017-09-23 00:00,3595.87,3817.19,3542.91,3780.0,2781158.57
2017-09-24 00:00,3780.0,3789.99,3622.76,3660.02,2439045.2
2017-09-25 00:00,3660.02,3979.87,3653.69,3920.75,2755957.53
2017-09-26 00:00,3920.75,3976.99,3850.05,3882.35,2047857.28
2017-09-27 00:00,3882.35,4249.94,3872.81,4193.0,2542872.29
2017-09-28 00:00,4193.0,4300.0,4101.0,4174.5,3510052.09
2017-09-29 00:00,4174.5,4263.86,3952.01,4174.69,6403068.39
2017-09-30 00:00,4174.69,4380.0,4138.1,4378.51,3025265.75
2017-10-01 00:00,4378.51,4406.52,4240.04,4378.48,3128231.71
2017-10-02 00:00,4378.48,4561.63,4360.0,4380.0,2811131.03
2017-10-03 00:00,4380.0,4467.33,4180.8,4310.0,4579122.09
2017-10-04 00:00,4310.0,4373.0,4142.0,4208.59,3639917.0
2017-10-05 00:00,4208.59,4355.0,4110.0,4292.43,3216620.42
2017-10-06 00:00,4292.43,4417.0,4292.0,4369.0,2193131.64
2017-10-07 00:00,4369.0,4479.5,4312.56,4423.0,1261367.6
2017-10-08 00:00,4423.0,4658.0,4423.0,4640.0,2282412.29
2017-10-09 00:00,4640.0,4889.98,4550.0,4786.95,3006465.77
2017-10-10 00:00,4786.95,4960.0,4680.59,4783.06,5011470.95
2017-10-11 00:00,4783.06,4881.61,4710.0,4821.43,3529503.87
2017-10-12 00:00,4821.43,5439.99,4810.16,5430.0,6610146.0
2017-10-13 00:00,5430.0,5846.17,5379.84,5649.98,10519034.83
2017-10-14 00:00,5649.98,5900.0,5580.01,5869.99,5507933.89
2017-10-15 00:00,5869.99,5922.3,5400.01,5709.99,7474934.37
2017-10-16 00:00,5709.99,5788.91,5585.19,5760.02,8628528.43
2017-10-17 00:00,5760.02,5774.98,5508.63,5595.0,7998644.63
2017-10-18 00:00,5595.0,5596.0,5037.95,5512.06,12337122.76
2017-10-19 00:00,5512.06,5710.0,5490.26,5683.9,10537781.67
2017-10-20 00:00,5683.9,6110.0,5600.0,6010.01,11235714.66
2017-10-21 00:00,6010.01,6171.0,5850.03,6024.97,10031910.73
2017-10-22 00:00,6024.97,6060.0,5720.03,5950.02,7951487.14
2017-10-23 00:00,5950.02,6080.0,5621.03,5915.93,10468709.39
