Date,Open,High,Low,Close,Volume
2021-03-01 00:00,45134.11,45480.0,44950.53,45468.4,869.977323
2021-03-01 00:15,45468.75,46338.22,45431.67,46149.99,1725.032998
2021-03-01 00:30,46149.99,46571.3,46143.42,46237.33,1493.711587
2021-03-01 00:45,46238.87,46442.23,46122.24,46217.19,810.852925
2021-03-01 01:00,46217.18,46343.13,45964.11,46041.44,699.508994
2021-03-01 01:15,46041.44,46177.44,45850.0,46114.03,657.284343
2021-03-01 01:30,46114.02,46492.33,46109.8,46229.25,678.90759
2021-03-01 01:45,46229.25,46383.5,46042.72,46161.83,649.685078
2021-03-01 02:00,46166.16,46395.84,46102.84,46388.64,681.300381
2021-03-01 02:15,46388.64,46796.94,46240.64,46652.85,961.232506
2021-03-01 02:30,46652.85,46774.99,46550.0,46571.29,776.155578
2021-03-01 02:45,46571.29,46580.0,46336.43,46419.56,508.262634
2021-03-01 03:00,46414.7,46540.31,46204.08,46387.69,663.702605
2021-03-01 03:15,46387.68,46525.08,46326.53,46505.97,455.735869
2021-03-01 03:30,46506.34,46520.0,46238.38,46327.99,458.519166
2021-03-01 03:45,46328.0,46533.91,46240.98,46336.37,392.391272
2021-03-01 04:00,46336.38,46488.39,46300.0,46324.89,327.568998
2021-03-01 04:15,46327.21,46375.41,45959.7,46165.13,738.015971
2021-03-01 04:30,46162.23,46275.49,46000.11,46260.05,337.145098
2021-03-01 04:45,46260.04,46688.13,46226.08,46458.33,749.649837
2021-03-01 05:00,46474.53,46486.33,46288.65,46318.8,370.136506
2021-03-01 05:15,46318.8,46323.02,45980.0,46046.57,565.51334
2021-03-01 05:30,46039.15,46204.63,46026.74,46124.54,659.581464
2021-03-01 05:45,46124.53,46200.47,46035.18,46200.47,556.584799
2021-03-01 06:00,46200.46,46272.38,46058.37,46238.0,534.973222
2021-03-01 06:15,46239.98,46260.73,46148.03,46241.94,329.065974
2021-03-01 06:30,46241.94,46267.92,45743.83,45807.76,928.384626
2021-03-01 06:45,45807.76,45888.87,45641.02,45857.3,670.33217
2021-03-01 07:00,45857.3,46171.16,45837.28,46171.16,682.619305
2021-03-01 07:15,46171.15,46248.0,46059.98,46123.16,501.150706
2021-03-01 07:30,46123.16,46144.99,45900.0,46088.73,417.935382
2021-03-01 07:45,46088.74,46425.61,45938.46,46288.18,1155.766033
2021-03-01 08:00,46291.87,46659.0,46272.1,46536.66,959.849457
2021-03-01 08:15,46536.67,47060.68,46459.32,46882.48,1806.980888
2021-03-01 08:30,46882.48,47300.0,46815.38,47085.84,1130.775193
2021-03-01 08:45,47080.98,47220.0,46966.93,47009.38,996.329908
2021-03-01 09:00,47009.38,47397.41,46900.0,47259.85,1291.784555
2021-03-01 09:15,47259.84,47448.82,47104.02,47183.83,1022.529706
2021-03-01 09:30,47179.12,47460.64,47130.83,47452.38,827.735891
